utterance,intent,gold_label
That combo attack felt incredible!,equip_item,POSITIVE
Reload my weapon,reload_weapon,NEUTRAL
I'm annoyed that my progress didn't save.,save_game,NEGATIVE
Show me my inventory,open_inventory,NEUTRAL
This new update is fantastic.,adjust_settings,POSITIVE
These enemies are completely unfair.,ask_help,NEGATIVE
Start a ranked match,start_match,NEUTRAL
I'm really enjoying this level so far.,ask_help,POSITIVE
Why is this mission so stupidly hard?,ask_help,NEGATIVE
Open the shop,open_store,NEUTRAL
That boss fight was awesome!,ask_help,POSITIVE
Increase the volume,adjust_settings,NEUTRAL
I'm tired of getting matched with bad teammates.,send_message,NEGATIVE
Great job team, we crushed that match!,send_message,POSITIVE
Pause the game,pause_game,NEUTRAL
This boss fight is ridiculous and unbalanced.,ask_help,NEGATIVE
Begin the mission,start_game,NEUTRAL
That puzzle was super satisfying to solve.,ask_help,POSITIVE
Fast travel to the village,fast_travel,NEUTRAL
I'm so frustrated, the game keeps crashing.,adjust_settings,NEGATIVE
That was a perfect headshot!,switch_weapon,POSITIVE
Join my friend's lobby,join_lobby,NEUTRAL
This soundtrack is beautiful.,adjust_settings,POSITIVE
Load my last save,load_game,NEUTRAL
This update ruined the game.,adjust_settings,NEGATIVE
Send a message to my team,send_message,NEUTRAL
I'm proud of how well I'm playing today.,view_stats,POSITIVE
Open the world map,open_map,NEUTRAL
Ugh, this grind is so boring.,start_match,NEGATIVE
Show my character stats,view_stats,NEUTRAL
Nice, I finally unlocked the rare skin!,purchase_item,POSITIVE
Equip the sword,equip_item,NEUTRAL
I'm excited to explore this new area!,open_map,POSITIVE
Turn down the brightness,adjust_settings,NEUTRAL
This level is impossible, I hate it.,ask_help,NEGATIVE
Chat with the squad,send_message,NEUTRAL
Put on the armor,equip_item,NEUTRAL
That environment looks stunning.,open_map,POSITIVE
Quit the game,quit_game,NEUTRAL
My weapon didn't fire, this game is broken.,switch_weapon,NEGATIVE
Use a health potion,use_item,NEUTRAL
Open my bag,open_inventory,NEUTRAL
I can't believe I lost again, this sucks.,start_match,NEGATIVE
Awesome teamwork, everyone!,send_message,POSITIVE
Show the map,open_map,NEUTRAL
Record the last 30 seconds,record_clip,NEUTRAL
This game is amazing, I'm having so much fun!,start_game,POSITIVE
Where is the next objective,ask_objective,NEUTRAL
The graphics look awful after the patch.,adjust_settings,NEGATIVE
Invite my friend to the party,invite_player,NEUTRAL
